name,poi,playfield,trader sells,trader buys,required items,restock (minutes)
Imperial Arms,"Attonement Station,Bazarr of Farr,Cloning Station,
Croesus Ore Headquarters,Main Trade Hub,Pirate Battlestation,
Trade Center,Trade Station Kimberlite,Trade Station Onyx,
Trade Station Pharos,Trading Station,Waystation TS04","Alien,Arid,Arid Mesa,
AridStarter,Barren,Brooding Temperate,
Crystalline Moon,Desert,Desert Oasis,
DesertBurnt,Elder Barren,Farr Homeworld,
Farr Homeworld Orbit,Frozen Inferno,Ice,
Irradiated,Jungle,Jungle Moon,
LavaNascent,Mire,Ocean,
Ocean Starter,Odd Temperate Starter,Orbit,
Pirate Battlestation,Pummeled Desert,Snow,
Stormy Desert,Strange Temperate,Swamp,
Swamp Starter,Temperate,Temperate Rainforest,
TemperatePlateau,TemperateStarter,TemperateStarter2,
Trading Station,Tropical,Zirax Defense Checkpoint,
ZiraxHomeworld","Flamethrower: 1.0-1.5,10-20
Heat Exchanger: 1.5-2.5,5-10
Heavy Mechanoid: 2.0-3.0,0-1
LS-45 Laser Rifle: 1.0-1.5,5-10
Large Heat Sink: 1.0-1.5,250-500
Zirax Combat Rifle: 1.25-1.5,10-30
Zirax Heat-Seeking Rocket: 1.0-1.5,150-300
Zirax Heavy Shotgun: 1.25-1.5,10-30
Zirax Laser Cell: 1.0-1.5,75-150
Zirax Marksman Rifle: 1.25-1.5,10-30
Zirax Particle Beam Rifle: 1.25-1.5,1-5
Zirax Plasma Cell: 1.0-1.5,250-500
Zirax Rocket Launcher: 1.25-1.5,5-30","Flamethrower: 0.5-0.75,0-25
LS-45 Laser Rifle: 0.5-0.75,0-15
Zirax Combat Rifle: 0.5-0.75,0-35
Zirax Heavy Shotgun: 0.5-0.75,0-35
Zirax Marksman Rifle: 0.5-0.75,0-35
Zirax Particle Beam Rifle: 0.5-0.75,0-10
Zirax Rocket Launcher: 0.5-0.75,0-35",,200
Imperial Bounty Officer,Bounty Hunter Office,"Trading Station,Zirax Defense Checkpoint","House Xenu (Poster): 4-6,0-2","House Xenu (Poster): 0.3-0.4,5-10
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 20000-20000,5000-5000",,60
Industrial Information Broker,"Kenex Station,Kudos Station,Polar Outpost,
Temple of Farr,Trade Station,Trade Station Eta,
Trade Station Lambda,Trade Station Olivine,Waystation TP01","Alien,Arid,Arid Mesa,
Asteroid Field,Barren,Barren Moon,
BarrenMetal,Brooding Temperate,Desert,
Desert Oasis,DesertBurnt,Elder Barren,
Farr Homeworld,Farr Homeworld Orbit,Frozen Inferno,
Ice,Irradiated,Jungle,
Jungle Moon,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,Pummeled Desert,Rocky Desert,
Sandy Barren Moon,Snow,SnowStory,
Station,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Temperate,
Temperate Moon,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Trading Station,
Varnished Barren Moon,ZiraxHomeworld",,"Communication Data: 8.0-12.5,100-150
Economic Data: 8.0-12.5,100-150
Maintenance Data: 8.0-12.5,100-150
Transportation Data: 8.0-12.5,100-150
Work Shift Data: 8.0-12.5,100-150",,120
Information Broker,"Ghyst Trade Station,Kenex Station 62,Outpost,
Pirate Battlestation,Trade Station Tourmaline,Traders Commons","Arid,BarrenMetal,Desert,
DesertBurnt,Farr Homeworld Orbit,Glacial Ice,
MoonDesert,Ocean,Orbit,
Pirate Battlestation,Rocky Desert,Snow,
Stormy Desert,Swamp,Temperate,
TemperatePlateau,Trading Station,Varnished Barren Moon,
Zirax Defense Checkpoint",,"Anomalous Data: 1.1-2.5,100-150
Archeological Data: 1.1-2.5,100-150
Astronomical Data: 1.1-2.5,100-150
Atmospheric Data: 1.1-2.5,100-150
Biological Data: 1.1-2.5,100-150
Classified Information: 1.1-2.5,100-150
Communication Data: 1.1-2.5,100-150
Economic Data: 1.1-2.5,100-150
Exploration Raw Data: 1.1-2.5,100-150
Geological Data: 1.1-2.5,100-150
Maintenance Data: 1.1-2.5,100-150
Material Data: 1.1-2.5,100-150
Military Raw Data: 1.1-2.5,100-150
Navigation Data Report: 1.1-2.5,100-150
Planetary Resource Data: 1.1-2.5,100-150
Science Raw Data: 1.1-2.5,100-150
Scout Report: 1.1-2.5,100-150
Space Anomalies Report: 1.1-2.5,100-150
Space Weather Forecast: 1.1-2.5,100-150
Surveillance Data: 1.1-2.5,100-150
Transportation Data: 1.1-2.5,100-150
Troop Movement Report: 1.1-2.5,100-150
Warp Signatures Report: 1.1-2.5,100-150
Weapon Signatures Report: 1.1-2.5,100-150
Work Shift Data: 1.1-2.5,100-150",,200
Inter-Weapon,"Black Market,Bounty Hunter Office,Business Center,
Drydock,Foundry,Karana Trade Station,
Main Trade Hub,Planetary Fortress,Smuggler Barge,
Syndicate Lookout,Syndicate Outpost,Trading Station","Asteroid Field,Combat Site Class 2,Combat Site Class 4,
Farr Homeworld Orbit,Jungle,Lava,
Mining Site,Mining Site Class 1,Mining Site Class 2,
Mining Site Class 3,Mining Site Class 4,Mining Site Class 5,
Molten,Orbit,Rocky Desert,
Station,Swamp,Syndicate Casino,
Trading Station,Zirax Defense Checkpoint","12.7mm Sniper Round: 1.0-1.25,650-1500
15x127mm Rounds: 1.0-1.25,3000-8000
35mm Anti-Personnel Rocket: 1.0-1.25,150-300
35mm Guided Rocket: 1.0-1.25,150-300
5.8mm Rifle Round: 1.0-1.25,1500-3000
8.3mm Minigun Round: 1.0-1.25,5000-7000
Armor Booster: 1.0-1.25,5-10
Assault Rifle: 1.0-1.25,10-20
Carbon Substrate: 1.0-1.25,500-1000
Ethanol Canister: 1.0-1.25,10-50
Explosive Charge: 1.0-1.25,10-50
Flamethrower: 1.0-1.25,5-10
Heavy Armor: 1.0-1.25,2-10
Heavy Weapon Upgrade Kit: 1.0-1.25,5-10
LS-22 Laser Pistol: 1.0-1.25,10-15
LS-45 Laser Rifle: 1.0-1.25,5-10
Laser Pistol Charge: 1.0-1.25,50-150
Laser Rifle Charge: 1.0-1.25,30-100
Laser Upgrade Kit: 1.0-1.25,5-10
M40 Grenade Launcher: 1.0-1.25,10-20
Magnesium Powder: 1.0-1.25,50-750
Minigun: 1.0-1.25,5-10
Mobility Booster: 1.0-1.25,5-10
Multibooster: 1.0-1.25,5-10
Nightvision Goggles: 1.0-1.25,10-30
Nitrocellulose: 1.0-1.25,500-2500
Pistol Round: 1.0-1.25,1500-3000
Pistol Upgrade Kit: 1.0-1.25,5-10
Plasma Blaster Charge: 1.0-1.25,10-60
Plasma Cannon: 1.0-1.25,3-10
Pulse Rifle: 1.0-1.25,10-20
Rifle upgrade kit: 1.0-1.25,5-10
Rocket Launcher: 1.0-1.25,10-20
Shotgun Shell: 1.0-1.25,500-1000
Shotgun upgrade kit: 1.0-1.25,5-10
Sniper Rifle: 1.0-1.25,10-20
Sniper upgrade kit: 1.0-1.25,5-10
Submachine Gun: 1.0-1.25,10-30
Type-A Laser Charge: 1.0-1.25,10-80
Type-C Plasma Cell: 1.0-1.25,150-300","12.7mm Sniper Round: 0.5-0.75,100-1600
15x127mm Rounds: 0.5-0.75,2500-9500
35mm Anti-Personnel Rocket: 0.5-0.75,200-500
35mm Guided Rocket: 0.5-0.75,200-500
5.8mm Rifle Round: 0.5-0.75,1000-6500
8.3mm Minigun Round: 0.5-0.75,4000-10000
Armor Booster: 0.5-0.75,5-25
Assault Rifle: 0.5-0.75,15-50
Carbon Substrate: 0.5-0.75,1000-5000
Ethanol Canister: 0.5-0.75,20-80
Explosive Charge: 0.5-0.75,25-70
Flamethrower: 0.5-0.75,5-15
Heavy Armor: 0.5-0.75,5-25
Heavy Weapon Upgrade Kit: 0.5-0.75,10-50
LS-22 Laser Pistol: 0.5-0.75,5-35
LS-45 Laser Rifle: 0.5-0.75,5-25
Laser Pistol Charge: 0.5-0.75,10-200
Laser Rifle Charge: 0.5-0.75,10-150
Laser Upgrade Kit: 0.5-0.75,10-50
M40 Grenade Launcher: 0.5-0.75,5-35
Magnesium Powder: 0.5-0.75,100-1000
Minigun: 0.5-0.75,5-25
Mobility Booster: 0.5-0.75,5-25
Multibooster: 0.5-0.75,5-25
Nightvision Goggles: 0.5-0.75,25-50
Nitrocellulose: 0.5-0.75,1000-5000
Pistol Round: 0.5-0.75,2000-5000
Pistol Upgrade Kit: 0.5-0.75,10-50
Plasma Blaster Charge: 0.5-0.75,10-70
Plasma Blaster: 0.5-0.75,10-20
Plasma Cannon: 0.5-0.75,5-25
Pulse Rifle: 0.5-0.75,5-50
Rifle upgrade kit: 0.5-0.75,10-50
Rocket Launcher: 0.5-0.75,5-50
Shotgun Shell: 0.5-0.75,1000-2000
Shotgun upgrade kit: 0.5-0.75,10-50
Sniper Rifle: 0.5-0.75,15-60
Sniper upgrade kit: 0.5-0.75,10-50
Submachine Gun: 0.5-0.75,5-55
Type-A Laser Charge: 0.5-0.75,15-90
Type-C Plasma Cell: 0.5-0.75,200-500",,60
Inter-Weapon Manufacturing,InterWeapon Munitions,"Barren,Barren Moon,Desert,
DesertBurnt,Ice,Irradiated,
MoonBarren,Ocean,Sandy Barren Moon,
Snow,Stormy Desert,Swamp,
Temperate","110mm Unguided Missile: 0.85-1.0,200-400
115mm Laser-Guided Missile: 0.85-1.15,150-325
15x127mm Rounds: 0.85-1.0,16000-24000
20x128mm AP-Rounds: 0.85-1.0,8000-16000
30x175mm Autocannon Rounds: 0.85-1.0,2000-4000
40x365mm Autocannon Rounds: 0.85-1.0,2000-4000
Mark-25 Sledgehammer Torpedo: 0.85-1.0,20-40
Railgun Projectile: 0.85-1.0,250-500
Small Upgrade Kit: 1.0-1.25,8-16","Aluminium Powder: 0.75-1.0,1000-4000
Cobalt Alloy: 0.75-1.0,1500-7500
Erestrum Gel: 0.75-1.0,750-2400
Magnesium Powder: 0.75-1.0,2000-8000
Neodymium ingot: 0.75-1.0,1000-2000
Sathium ingot: 0.75-1.0,500-4000
Titanium Ingot: 0.75-1.0,750-4500","Elemental Pentaxid x1000
Sulfur x650
Large Upgrade Kit
High-Output Capacitor x50
Heat Exchanger x30",240
InterWeapon Armaments,"Drone Base,Fire Base,Kudos Station,
Outpost,Trade Center,Trade Station Amethyst,
Trade Station Eta,Trade Station Nu,Trade Station Olivine,
Trade Station Rho,Trading Station Iota","Alien,Arid,Asteroid Field,
Barren,BarrenMetal,Brooding Temperate,
Desert,DesertBurnt,Elder Barren,
Farr Homeworld Orbit,Frozen Inferno,Glacial Ice,
Ice,Irradiated,Jungle,
Jungle Moon,MoonDesert,Ocean,
Ocean Starter,Odd Temperate Starter,Orbit,
Pummeled Desert,Snow,Station,
Strange Temperate,Swamp,Swamp Starter,
Temperate,Temperate Moon,Temperate Rainforest,
TemperatePlateau,TemperateStarter,TemperateStarter2,
Trading Station,Tropical,Varnished Barren Moon","12.7mm Sniper Round: 1.0-1.25,250-500
35mm Anti-Personnel Rocket: 1.0-1.25,50-100
35mm Guided Rocket: 1.0-1.25,50-100
40mm Frag Grenade: 1.0-1.25,50-100
5.8mm Rifle Round: 1.0-1.25,500-1000
8.3mm Minigun Round: 1.0-1.25,2500-7000
Explosive Charge: 1.0-1.25,1-15
Flamethrower: 1.0-1.25,1-5
Heavy Armor: 1.0-1.25,1-5
Heavy Weapon Upgrade Kit: 1.0-1.25,1-10
LS-22 Laser Pistol: 1.0-1.25,1-10
LS-45 Laser Rifle: 1.0-1.25,1-8
Laser Pistol Charge: 1.0-1.25,10-30
Laser Upgrade Kit: 1.0-1.25,1-10
Minigun: 1.0-1.25,1-5
Pistol Round: 1.0-1.25,500-1000
Pistol Upgrade Kit: 1.0-1.25,1-10
Pulse Rifle: 1.0-1.25,1-10
Rifle upgrade kit: 1.0-1.25,1-10
Rocket Launcher: 1.0-1.25,1-10
Shotgun Shell: 1.0-1.25,500-1000
Shotgun upgrade kit: 1.0-1.25,1-10
Small Upgrade Kit: 0.75-1.0,1-3
Sniper upgrade kit: 1.0-1.25,1-10","12.7mm Sniper Round: 0.5-0.75,200-500
35mm Anti-Personnel Rocket: 0.5-0.75,200-400
35mm Guided Rocket: 0.5-0.75,100-500
40mm Frag Grenade: 0.5-0.75,50-125
5.8mm Rifle Round: 0.5-0.75,1000-5000
8.3mm Minigun Round: 0.5-0.75,2000-8000
Explosive Charge: 0.5-0.75,5-50
Flamethrower: 0.5-0.75,1-25
Heavy Armor: 0.5-0.75,0-15
Heavy Weapon Upgrade Kit: 0.5-0.75,10-50
LS-22 Laser Pistol: 0.5-0.75,6-15
LS-45 Laser Rifle: 0.5-0.75,0-15
Laser Pistol Charge: 0.5-0.75,10-250
Laser Upgrade Kit: 0.5-0.75,10-50
Minigun: 0.5-0.75,5-20
Pistol Round: 0.5-0.75,1000-5000
Pistol Upgrade Kit: 0.5-0.75,10-50
Pulse Rifle: 0.5-0.75,0-45
Rifle upgrade kit: 0.5-0.75,10-50
Rocket Launcher: 0.5-0.75,5-30
Shotgun Shell: 0.5-0.75,500-5000
Shotgun upgrade kit: 0.5-0.75,10-50
Small Upgrade Kit: 0.25-0.5,0-5
Sniper upgrade kit: 0.5-0.75,10-50
Zirax Marksman Rifle: 0.75-0.75,0-50
Zirax Rocket Launcher: 0.75-0.75,0-50",,240
InterWeapon Heavy,"Ghyst Trade Station,Kenex Station,Kenex Station 62,
Logistics Hub,Logistics Terminal,Trade Station,
Trade Station Citrine,Trade Station Kappa,Trade Station Lambda,
Trade Station Lazuli,Trade Station Onyx,Trade Station Tourmaline","Arid,Asteroid Field,Barren,
Desert,DesertBurnt,Elder Barren,
Farr Homeworld Orbit,Frozen Inferno,Glacial Ice,
Ice,Irradiated,Jungle,
Jungle Moon,LavaNascent,Ocean,
Ocean Starter,Odd Temperate Starter,Orbit,
Plasma,Pummeled Desert,Snow,
SnowStarter,Station,Strange Temperate,
Temperate,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Trading Station,
Zirax Defense Checkpoint,ZiraxHomeworldMoon","110mm Unguided Missile: 1.0-1.25,1-80
115mm Laser-Guided Missile: 1.0-1.25,1-50
130mm Precision-Guided SAM: 1.0-1.25,1-50
155mm Ballistic Artillery Shell: 1.0-1.25,1-25
15x127mm Rounds: 1.0-1.25,500-2000
37mm Flak Shell BA: 1.0-1.25,200-500
37mm Flak Shell CV: 1.0-1.25,200-500
8.3mm Minigun Round: 1.0-1.25,2500-7000
Heavy Armor: 1.0-1.25,1-5
Heavy Weapon Upgrade Kit: 1.0-1.25,1-10
Laser Upgrade Kit: 1.0-1.25,1-10
Minigun: 1.0-1.25,1-5
Mk.122 Bomb: 1.0-1.25,10-25
Mk200 Laser Charge: 1.0-1.25,1-15
Plasma Blaster Charge: 1.0-1.25,10-45
Railgun Projectile: 1.0-1.25,150-300
Rifle upgrade kit: 1.0-1.25,1-10
Shotgun upgrade kit: 1.0-1.25,1-10
Small Upgrade Kit: 0.75-1.0,1-7
Sniper upgrade kit: 1.0-1.25,1-10
Type-A Laser Charge: 1.0-1.25,1-15
Type-A Plasma Cell: 1.0-1.25,100-300
Type-B Plasma Cell: 1.0-1.25,100-300
Type-C Plasma Cell: 1.0-1.25,50-100","110mm Unguided Missile: 0.5-0.75,25-100
115mm Laser-Guided Missile: 0.5-0.75,5-80
130mm Precision-Guided SAM: 0.5-0.75,5-60
155mm Ballistic Artillery Shell: 0.5-0.75,0-50
15x127mm Rounds: 0.5-0.75,500-2500
37mm Flak Shell BA: 0.5-0.75,0-500
37mm Flak Shell CV: 0.5-0.75,0-500
8.3mm Minigun Round: 0.5-0.75,2000-8000
Heavy Armor: 0.5-0.75,0-10
Heavy Weapon Upgrade Kit: 0.5-0.75,10-50
Laser Upgrade Kit: 0.5-0.75,10-50
Minigun: 0.5-0.75,0-15
Mk.122 Bomb: 0.5-0.75,5-30
Mk200 Laser Charge: 0.5-0.75,0-25
Plasma Blaster Charge: 0.5-0.75,5-120
Plasma Blaster: 0.5-0.75,5-15
Railgun Projectile: 0.5-0.75,50-300
Rifle upgrade kit: 0.5-0.75,10-50
Shotgun upgrade kit: 0.5-0.75,10-50
Small Upgrade Kit: 0.25-0.5,0-8
Sniper upgrade kit: 0.5-0.75,10-50
Type-A Laser Charge: 0.5-0.75,5-100
Type-A Plasma Cell: 0.5-0.75,10-300
Type-B Plasma Cell: 0.5-0.75,10-300
Type-C Plasma Cell: 0.5-0.75,100-500",,320
Iron Trader,Frigate (Mining Iron),"Asteroid Field,Orbit","Iron Ore: 0.7-0.9,750-1500","Drill Charge: 1.1-1.3,50-200
Drill Module - Laser: 1.1-1.2,1-2
Laser Drill: 1.3-1.6,3-5
Tool Turrets: 1.1-1.2,1-3",,120
Karana Liquors,Karana Trade Station,Jungle,,"Akua Sparkling Wine: 1.1-1.3,2500-3500
Beer: 1.1-1.3,2500-3500
Liquors: 1.1-1.3,5000-7500",,720
Large Delivery Contracts,Distribution Center,Trading Station,,"Large Sealed Package (Pirates): 1.25-1.25,3-6",,180
Large Delivery Contracts,Distribution Center,Trading Station,,"Large Sealed Package (Colonists): 1.2-1.2,3-6",,180
Large Delivery Contracts,Distribution Center,"Trading Station,Zirax Defense Checkpoint",,"Large Sealed Package (Zirax): 1.25-1.25,3-6",,180
Large Delivery Contracts,Distribution Center,Trading Station,,"Large Sealed Package (Polaris): 1.20-1.20,3-6",,180
Large Scrap Dealer,Scrapyard,Scrapyard,,"Advanced Generator: 0.15-0.2,10-20
Advanced Thrusters: 0.15-0.2,15-30
Antennas: 0.15-0.2,25-50
Food Processor: 0.15-0.2,25-50
Fridges: 0.15-0.2,50-100
Fuel Tank (Large): 0.15-0.2,25-50
Fuel Tank (Medium): 0.15-0.2,25-50
Generator: 0.15-0.2,25-50
Large Generator: 0.15-0.2,25-50
Large Oxygen Tank: 0.15-0.2,50-100
Large RCS: 0.15-0.2,25-50
Medical Devices: 0.15-0.2,25-50
Medium Thrusters: 0.15-0.2,25-50
Oxygen Station: 0.15-0.2,25-50
Pentaxid Tank: 0.15-0.2,25-50
Projectile Turrets: 0.15-0.2,25-50
Projectile Turrets: 0.15-0.2,25-50
Radar Dish: 0.15-0.2,25-50
Sentry Guns - Player: 0.15-0.2,50-100
Small Oxygen Tank: 0.15-0.2,25-50
Small Thruster: 0.15-0.2,25-50
Ventilators: 0.15-0.2,50-100",,180
Lead Researcher,"Artifact Site,Private Hangar","Ice,Orbit,Snow","Anti-Parasite Pills: 0.75-1.0,250-500
Computer: 0.75-1.25,150-250
Elemental Pentaxid: 0.75-1.25,500-1000
Platinum Plate: 1.0-1.5,100-200
Regeneration Kit: 1.0-1.5,150-300
Science Equipment: 1.0-1.25,100-200
Tech Equipment: 1.0-1.5,250-500","Anomalous Data: 4.0-5.0,100-150
Archeological Data: 4.0-5.0,100-150
Biological Data: 4.0-5.0,100-150
Material Data: 4.0-5.0,100-150
Quantum Processor: 1.0-1.5,15-30
Radiation Shielding Booster: 1.0-1.25,25-50
Reactive Xenomatter: 0.65-0.85,300-800
Science Raw Data: 4.0-5.0,100-150
Xenomaterial: 1.5-2.0,200-1000
Xenon Bottle: 1.5-2.0,300-800","Scientific Keycard
Viral Sample x5
Anomalous Data,Science Raw Data
Robotics x12,Superconductor x70
Radiation Shielding x30,Heat Exchanger x40,Large Optronic Bridge x50
Platinum Plate x1000",240
M.A Corp Advanced,"Bazarr of Farr,Central Trade Station,Ghyst Trade Station,
Logistics Hub,Pirate Battlestation,Sanctuary,
Trade Station Agate,Trade Station Citrine,Trade Station Kimberlite,
Trade Station Lambda,Trade Station Pharos","Arid,Arid Mesa,AridStarter,
Asteroid Field,Barren,Desert,
Desert Oasis,DesertBurnt,Elder Barren,
Farr Homeworld,Farr Homeworld Orbit,Frozen Inferno,
Ice,Irradiated,Jungle,
Jungle Moon,LavaNascent,Mire,
MoonPolarisTesting,Ocean,Ocean Starter,
Odd Temperate Starter,Orbit,Pirate Battlestation,
Pummeled Desert,Sandy Barren Moon,Snow,
Station,Stormy Desert,Strange Temperate,
Temperate,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Trading Station,
Zirax Defense Checkpoint","Auto Miner Core: 1.0-1.25,1-5
Cobalt ingot: 1.0-1.25,50-1000
Copper ingot: 1.0-1.25,50-1000
Drill Charge: 1.0-1.25,50-100
Erestrum ingot: 1.0-1.25,1-500
Gold Ingot: 1.0-1.1,0-25
Iron Ingot: 1.0-1.25,50-1000
Laser Drill: 1.0-1.25,1-10
Mechanical Drill: 1.0-1.25,1-5
Neodymium ingot: 1.0-1.25,50-1000
Ore Scanner: 1.0-1.25,1-15
Platinum Ingot: 1.0-1.25,0-15
Sathium ingot: 1.0-1.25,1-500
Silicon ingot: 1.0-1.25,50-1000
Solar Cell: 4-8,0-16
Titanium Ingot: 1.0-1.25,400-1000
Zascosium ingot: 1.0-1.25,1-500","Auto Miner Core: 0.5-0.75,5-20
Cobalt ingot: 0.5-0.75,100-2000
Copper ingot: 0.5-0.75,100-3000
Erestrum ingot: 0.5-0.75,50-1500
Gold Ingot: 0.9-1.0,10-30
Iron Ingot: 0.5-0.75,100-3000
Laser Drill: 0.5-0.75,10-10
Mechanical Drill: 0.5-0.75,5-10
Neodymium ingot: 0.5-0.75,50-2000
Ore Scanner: 0.5-0.75,5-30
Platinum Ingot: 0.5-0.75,10-25
Sathium ingot: 0.5-0.75,50-2500
Silicon ingot: 0.5-0.75,100-3000
Titanium Ingot: 0.5-0.75,100-2000
Zascosium ingot: 0.5-0.75,50-1500",,180
M.A Corp Basics,"Castle of Farr,Mining Station,Trade Station Kappa,
Trading Station,Trading Station Iota,Waystation TP03","Arid,Arid Mesa,AridStarter,
Asteroid Field,Barren,Barren Moon,
Desert,Desert Oasis,DesertBurnt,
Elder Barren,Farr Homeworld,Farr Homeworld Orbit,
Frozen Inferno,Ice,Irradiated,
Jungle,Jungle Moon,MoonStarter,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,Pummeled Desert,Snow,
SnowStarter,Station,Stormy Desert,
Strange Temperate,Temperate,Temperate Rainforest,
TemperatePlateau,TemperateStarter,TemperateStarter2,
Trading Station","Aluminium Powder: 1.0-1.25,0-100
Carbon Substrate: 1.0-1.25,3500-4000
Cobalt ingot: 1.0-1.25,50-1000
Copper ingot: 1.0-1.25,50-1000
Drill Charge: 1.0-1.25,50-100
EVA Booster: 1.0-1.25,1-5
Insulation Booster: 1.0-1.25,1-10
Iron Ingot: 1.0-1.25,50-1000
Laser Drill: 1.0-1.25,1-10
Magnesium Powder: 1.0-1.25,50-1000
Mechanical Drill: 1.0-1.25,1-5
Mining Equipment: 4.0-5.0,1-3
Ore Scanner: 1.0-1.25,1-15
Promethium pellets: 1.0-1.25,50-300
Radiation Shielding Booster: 1.0-1.25,1-10
Silicon ingot: 1.0-1.25,50-1000
Titanium Ingot: 1.0-1.25,400-1000","Aluminium Powder: 0.5-0.75,100-750
Carbon Substrate: 0.5-0.75,1000-8000
Cobalt ingot: 0.5-0.75,100-1000
Copper ingot: 0.5-0.75,100-1000
EVA Booster: 0.5-0.75,5-10
Insulation Booster: 0.5-0.75,10-20
Iron Ingot: 0.5-0.75,100-1000
Laser Drill: 0.5-0.75,10-15
Magnesium Powder: 0.5-0.75,100-1000
Mechanical Drill: 0.5-0.75,5-10
Ore Scanner: 0.5-0.75,5-30
Promethium pellets: 0.5-0.75,100-1200
Radiation Shielding Booster: 0.5-0.75,10-20
Silicon ingot: 0.5-0.75,100-1000
Titanium Ingot: 0.5-0.75,100-1000",,180
M.A Corp Industrial,"Argent Trade Station,Drydock,Karana Trade Station,
Planetary Fortress,Sanctuary,Trading Station","Asteroid Field,Farr Homeworld Orbit,Ice,
Jungle,Orbit,Rocky Desert,
Station,Stormy Desert,Swamp,
Trading Station","Aluminium Powder: 1.0-1.25,50-100
Auto Miner Core: 1.0-1.25,1-5
Carbon Substrate: 1.0-1.25,500-5000
Cobalt ingot: 1.0-1.25,50-1000
Copper ingot: 1.0-1.25,50-1000
Drill Charge: 1.0-1.25,50-100
EVA Booster: 1.0-1.25,1-5
Gold Ingot: 1.0-1.1,10-50
Insulation Booster: 1.0-1.25,1-10
Iron Ingot: 1.0-1.25,50-1000
Laser Drill: 1.0-1.25,3-15
Magnesium Powder: 1.0-1.25,50-1000
Medium Armor: 1.0-1.25,1-5
Neodymium ingot: 1.0-1.25,50-1000
Nitrocellulose: 1.0-1.25,50-500
Ore Scanner: 1.0-1.25,1-5
Oxygen Tank Booster: 1.0-1.25,1-10
Platinum Ingot: 1.0-1.25,50-100
Promethium pellets: 1.0-1.25,50-100
Radiation Shielding Booster: 1.0-1.25,1-10
Refined Pentaxid: 1.0-1.25,50-100
Silicon ingot: 1.0-1.25,50-1000
Titanium Ingot: 1.0-1.25,50-1000","Aluminium Powder: 0.5-0.75,100-1500
Auto Miner Core: 0.5-0.75,5-15
Carbon Substrate: 0.5-0.75,1000-5500
Cobalt ingot: 0.5-0.75,100-5000
Copper ingot: 0.5-0.75,100-5000
Drill Charge: 0.25-0.5,10-150
EVA Booster: 0.5-0.75,5-30
Gold Ingot: 0.9-1.0,100-500
Insulation Booster: 0.5-0.75,10-40
Iron Ingot: 0.5-0.75,100-5000
Laser Drill: 0.5-0.75,3-50
Magnesium Powder: 0.5-0.75,100-5000
Medium Armor: 0.5-0.75,5-25
Neodymium ingot: 0.5-0.75,100-5000
Nitrocellulose: 0.5-0.75,100-2750
Ore Scanner: 0.5-0.75,5-45
Oxygen Tank Booster: 0.5-0.75,10-40
Platinum Ingot: 0.5-0.75,100-500
Promethium pellets: 0.5-0.75,100-5000
Radiation Shielding Booster: 0.5-0.75,10-40
Refined Pentaxid: 0.5-0.75,100-500
Silicon ingot: 0.5-0.75,100-5000
Titanium Ingot: 0.5-0.75,100-5000",,60
